Id;Default
392;Jerk
390;Jerk: %f
55;JogAcc : %f
53;JogBackward
56;JogDec : %f
52;JogForward
54;JogVelo : %f
319;LastPosition
275;LastPosition: %f
171;MasterAbsolute
290;MasterOffset
102;MasterOffset:%f
292;MasterScaling
105;MasterScaling:%f
305;MasterStartDistance
265;MasterStartDistance %f
303;MasterSyncPosition
49;MasterSyncPosition %f
266;MC_AbortTrigger
167;MC_AccelerationProfile
101;MC_CamIn
256;MC_CamOut
169;MC_CamTableSelect
204;MC_DigitalCamSwitch
246;MC_GearIn
261;MC_GearInPos
270;MC_GearOut
252;MC_Halt
97;MC_Home
58;MC_Inch
57;MC_Jog
208;MC_MoveAbsolute
153;MC_MoveAdditive
271;MC_MoveRelative
190;MC_MoveSuperImposed
50;MC_MoveVelocity
258;MC_Phasing
154;MC_PositionProfile
42;MC_Power
278;MC_ReadActualPosition
417;MC_ReadActualTorque
419;MC_ReadActualVelocity
71;MC_ReadAxisError
209;MC_ReadBoolParameter
157;MC_ReadParameter
192;MC_ReadStatus
100;MC_Reset
281;MC_SetPosition
229;MC_Stop
272;MC_TouchProbe
267;MC_VelocityProfile
228;MC_WriteBoolParameter
253;MC_WriteParameter
317;Mode
282;Mode: %s
394;Name: %s
381;nControllerMode
183;nControllerMode: %d
368;nDirection
84;nDirection: %s
323;nErrorID
83;nErrorID : %d
378;nFBErrorID
118;nFBErrorID : %d
370;nHomingMode
88;nHomingMode: %s
138;No of Elements: %i
289;Offset
156;Offset: %f
207;Outputs
314;ParameterNumber
159;ParameterNumber: %d
379;pbyErrorInstance
119;pbyFBErrorID : %s
170;Periodic
311;PhaseShift
259;PhaseShift: %f
137;Point: %i
140;Pos
306;Position
39;Position : %f
98;Position: %f
312;PositionScale
10;PositionScale: %f
302;RatioDenominator
249;RatioDenominator: %d
301;RatioNumerator
263;RatioNumerator: %d
247;RatioNumerator:%d
320;RecordedPosition
276;RecordedPosition : %f
168;Scale: %f
384;Selection:
66;SetPosition: %f
68;SetVelocity: %f
325;sFileName
149;sFileName:%s
133;Slave: %f
172;SlaveAbsolute
291;SlaveOffset
104;SlaveOffset:%f
293;SlaveScaling
106;SlaveScaling:%f
304;SlaveSyncPosition
264;SlaveSyncPosition %f
404;SMC3_PersistPosition
412;SMC3_PersistPositionLogical
411;SMC3_PersistPositionLogiv
409;SMC3_PersistPositionSingelturn
410;SMC3_PersistPositionSingleturn
95;SMC3_ReinitDrive
230;SMC_AxisDiagnosticLog
174;SMC_BacklashCompensation
121;SMC_CAMBounds
241;SMC_CAMBounds_Pos
268;SMC_CamRegister
211;SMC_ChangeGearingRatio
216;SMC_CheckLimits
222;SMC_Encoder
257;SMC_FollowPosition
112;SMC_FollowPositionVelocity
420;SMC_FollowSetValues
150;SMC_FollowVelocity
245;SMC_GetCamSlaveSetPosition
219;SMC_GetCamSlaveSetPositionEx
254;SMC_GetMaxSetAccDec
279;SMC_GetMaxSetVelocity
143;SMC_GetTappetValue
184;SMC_GetTrackingError
76;SMC_Homing
70;SMC_Inch
161;SMC_InPosition
19;SMC_LimitAddAxisDynamics
226;SMC_MeasureDistance
29;SMC_MoveContinuousAbsolute
47;SMC_MoveContinuousRelative
20;SMC_PreAcknowledgeMFunction
21;SMC3_BrakeControl
23;SMC3_BrakeStatus
244;SMC_ReadCAM
116;SMC_ReadFBError
277;SMC_ReadSetPosition
182;SMC_SetControllerMode
399;SMC_SetMovementType
396;SMC_SetRampType
242;SMC_SetTorque
148;SMC_WriteCAM
327;sRecordSeparatorString
238;sRecordSeparatorString:%s
194;Standstill
316;StandStill
294;StartMode
107;StartMode: %s
262;StartSync
44;Status
193;Stopping
428;strErrorInstance
427;strErrorInstance : %s
425;strErrorInstance: %s
75;SWEndSwitchActive
74;SWEndSwitchActivSWEndSwitchActive
197;SynchronizedMotion
145;Tappet
298;TappetHysteresis
110;TappetHysteresis: %f
418;Torque
380;tTimeStamp
120;tTimeStamp : %s
395;Type: %s
415;usiNumberOfAbsoluteBits
388;V:
8;Valid
315;Value
160;Value: %f
210;Value: %s
141;Vel
134;Vel: %f
307;Velocity
31;Velocity : %f
260;Velocity: %f
295;VelocityDiff
191;VelocityDiff : %f
108;VelocityDiff: %f
321;VelocityScale
11;VelocityScale: %f
;
274;WindowOnly
386;X :
387;Y :
